"Point Num","Latitude","Longitude","Serial","Name","IP","Wlan","RSSI (SNR)","Cost","Signal","MAC Address","Channel","Frequency","Timestamp"
"1","-23.96323","28.891783","LX5-2455D-47657","","10.196.212.52","wlan1","36","2708","-68","04:f0:21:37:f5:7f","149","5745","2023-08-30 08:18:05 UTC"
"1","-23.96323","28.891783","FE1-2255B-100226","AIRAMPNMMADPSKID16","10.196.212.216","wlan1","15","57403","-89","84:8d:84:40:00:64","149","5745","2023-08-30 08:18:05 UTC"
"1","-23.96323","28.891783","LX5-2455D-81286","AIRAMPNMMCLPV308","10.196.212.59","wlan1","20","4393","-84","04:f0:21:8e:91:d0","149","5745","2023-08-30 08:18:05 UTC"
"1","-23.96323","28.891783","AG1-5250M-100756","Backpack","10.196.213.232","wlan1","42","2035","-62","84:8d:84:41:3e:66","149","5745","2023-08-30 08:18:05 UTC"
"1","-23.96323","28.891783","ME4-2450R-39790","AIRAMPNMMCLST250","10.196.213.141","wlan1","24","3746","-80","04:f0:21:18:3e:fb","149","5745","2023-08-30 08:18:05 UTC"
"1","-23.96323","28.891783","LX5-2455D-62659","AIRAMPNMMCLDR132","10.196.212.32","wlan1","21","3601","-83","04:f0:21:38:ca:17","149","5745","2023-08-30 08:18:05 UTC"
"1","-23.96323","28.891783","FE1-2255B-90506","AIRAMPNMMAPADPSKD25","10.196.212.33","wlan1","33","8587","-71","84:8d:84:40:a7:0c","149","5745","2023-08-30 08:18:05 UTC"
"1","-23.96323","28.891783","LX5-2455D-48402","AIRAMPNMMCLDR149","10.196.212.49","wlan1","16","32829","-88","04:f0:21:37:f8:ef","149","5745","2023-08-30 08:18:05 UTC"
"1","-23.96323","28.891783","LX5-2455D-49727","AIRAMPNMMCLDR141","10.196.212.41","wlan1","22","5688","-82","04:f0:21:37:f4:99","149","5745","2023-08-30 08:18:05 UTC"
"1","-23.96323","28.891783","LX5-2455D-81180","AIRAMPNMMCLPV307","10.196.212.78","wlan1","8","48786","-96","04:f0:21:8e:98:81","149","5745","2023-08-30 08:18:05 UTC"
