"Point Num","Latitude","Longitude","Serial","Name","IP","Wlan","RSSI (SNR)","Cost","Signal","MAC Address","Channel","Frequency","Timestamp"
"1","-23.96296","28.891846","AG1-5250M-100756","Backpack","10.196.213.232","wlan1","38","177247","-66","84:8d:84:41:3e:66","149","5745","2023-08-29 10:47:19 UTC"
"1","-23.96296","28.891846","LX5-2455D-81180","AIRAMPNMMCLPV307","10.196.212.78","wlan1","14","90743","-90","04:f0:21:8e:98:81","149","5745","2023-08-29 10:47:19 UTC"
"1","-23.96296","28.891846","LX5-2455D-49727","AIRAMPNMMCLDR141","10.196.212.41","wlan1","22","148870","-82","04:f0:21:37:f4:99","149","5745","2023-08-29 10:47:19 UTC"
"1","-23.96296","28.891846","FE1-2255B-90506","AIRAMPNMMAPADPSKD25","10.196.212.33","wlan1","33","84469","-71","84:8d:84:40:a7:0c","149","5745","2023-08-29 10:47:19 UTC"
"1","-23.96296","28.891846","LX5-2455D-48402","AIRAMPNMMCLDR149","10.196.212.49","wlan1","20","159588","-84","04:f0:21:37:f8:ef","149","5745","2023-08-29 10:47:19 UTC"
"1","-23.96296","28.891846","LX5-2455D-47656","AIRAMPNMMCLDR147","10.196.212.47","wlan1","9","277615","-95","04:f0:21:37:f5:99","149","5745","2023-08-29 10:47:19 UTC"
"1","-23.96296","28.891846","LX5-2455D-81286","AIRAMPNMMCLPV308","10.196.212.59","wlan1","16","172439","-88","04:f0:21:8e:91:d0","149","5745","2023-08-29 10:47:19 UTC"
"1","-23.96296","28.891846","LX5-2455D-62659","AIRAMPNMMCLDR132","10.196.212.32","wlan1","22","151300","-82","04:f0:21:38:ca:17","149","5745","2023-08-29 10:47:19 UTC"
"1","-23.96296","28.891846","LX5-2455D-47656","AIRAMPNMMCLDR147","10.196.212.47","wlan0","16","297283","-85","84:8d:84:fe:18:70","6","2437","2023-08-29 10:47:19 UTC"
"1","-23.96296","28.891846","LX5-2455D-49727","AIRAMPNMMCLDR141","10.196.212.41","wlan0","33","691205","-68","84:8d:84:fe:1a:6e","6","2437","2023-08-29 10:47:19 UTC"
"1","-23.96296","28.891846","LX5-2455D-62659","AIRAMPNMMCLDR132","10.196.212.32","wlan0","28","210469","-73","84:8d:84:fe:1c:79","6","2437","2023-08-29 10:47:19 UTC"
