"Point Num","Latitude","Longitude","Serial","Name","IP","Wlan","RSSI (SNR)","Cost","Signal","MAC Address","Channel","Frequency","Timestamp"
"1","-23.970259","28.916994","FE1-2255B-90797","IMSO-OT-WorkShop","10.196.212.253","wlan1","19","34251","-84","84:8d:84:40:ad:0a","149","5745","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","FE1-2255B-84691","AIRAMPNMFAPFTBIGMIKE","10.196.212.34","wlan1","24","127908","-79","84:8d:84:40:55:c5","149","5745","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","ME4-2450R-39784","AIRAMPNMMCLST264","10.196.212.144","wlan1","14","59377","-89","04:f0:21:18:3f:1c","149","5745","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","ME4-2450R-72510","AIRAMPNMMCLDT103","10.196.213.103","wlan1","14","81925","-89","04:f0:21:59:d8:2f","149","5745","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","ME4-2450R-28119","AIRAMPNMMCLDT64","10.196.213.64","wlan1","11","54365","-92","04:f0:21:09:e9:f6","149","5745","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","LX5-2455D-49506","AIRAMPNMFAPEP01","10.196.212.10","wlan1","34","25236","-69","04:f0:21:37:f4:38","149","5745","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","AG1-5250M-100756","Backpack","10.196.213.232","wlan1","39","23411","-64","84:8d:84:41:3e:66","149","5745","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","ME4-2450R-39794","AIRAMPNMMCLST265","10.196.212.145","wlan1","15","139117","-88","04:f0:21:18:3e:f5","149","5745","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","ME4-2450R-39271","AIRAMPNMMCLTESTBENCH","10.196.213.254","wlan1","22","53543","-81","04:f0:21:22:64:40","149","5745","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","FE1-2450A-96537","AIRAMPNMMCLDT102","10.196.213.102","wlan1","8","66165","-95","84:8d:84:40:16:e2","149","5745","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","ME4-2450R-28125","AIRAMPNMMCLDT40","10.196.213.40","wlan1","18","0","-85","04:f0:21:09:e9:f0","149","5745","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","ME4-2450R-39794","AIRAMPNMMCLST265","10.196.212.145","wlan0","22","116874","-73","04:f0:21:19:e7:04","6","2437","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","FE1-2255B-84691","AIRAMPNMFAPFTBIGMIKE","10.196.212.34","wlan0","27","201598","-68","84:8d:84:40:55:c7","6","2437","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","ME4-2450R-28119","AIRAMPNMMCLDT64","10.196.213.64","wlan0","36","16518","-59","04:f0:21:08:fb:fc","6","2437","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","AG1-5250M-100756","Backpack","10.196.213.232","wlan0","42","114334","-53","84:8d:84:41:3e:68","6","2437","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","FE1-2255B-90797","IMSO-OT-WorkShop","10.196.212.253","wlan0","15","246833","-80","84:8d:84:40:ad:0f","6","2437","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","ME4-2450R-39772","AIRAMPNMMCLDT41","10.196.213.41","wlan0","24","267897","-71","04:f0:21:19:e7:1a","6","2437","2023-08-30 07:17:44 UTC"
"1","-23.970259","28.916994","ME4-2450R-39784","AIRAMPNMMCLST264","10.196.212.144","wlan0","17","189857","-78","04:f0:21:19:e7:0c","6","2437","2023-08-30 07:17:44 UTC"
"2","-23.970272","28.916994","FE1-2255B-90797","IMSO-OT-WorkShop","10.196.212.253","wlan1","19","34251","-84","84:8d:84:40:ad:0a","149","5745","2023-08-30 07:17:47 UTC"
"2","-23.970272","28.916994","FE1-2255B-84691","AIRAMPNMFAPFTBIGMIKE","10.196.212.34","wlan1","24","113183","-79","84:8d:84:40:55:c5","149","5745","2023-08-30 07:17:47 UTC"
"2","-23.970272","28.916994","ME4-2450R-39784","AIRAMPNMMCLST264","10.196.212.144","wlan1","14","59377","-89","04:f0:21:18:3f:1c","149","5745","2023-08-30 07:17:47 UTC"
"2","-23.970272","28.916994","ME4-2450R-72510","AIRAMPNMMCLDT103","10.196.213.103","wlan1","14","81925","-89","04:f0:21:59:d8:2f","149","5745","2023-08-30 07:17:47 UTC"
"2","-23.970272","28.916994","ME4-2450R-28119","AIRAMPNMMCLDT64","10.196.213.64","wlan1","11","54365","-92","04:f0:21:09:e9:f6","149","5745","2023-08-30 07:17:47 UTC"
"2","-23.970272","28.916994","LX5-2455D-49506","AIRAMPNMFAPEP01","10.196.212.10","wlan1","34","22701","-69","04:f0:21:37:f4:38","149","5745","2023-08-30 07:17:47 UTC"
"2","-23.970272","28.916994","AG1-5250M-100756","Backpack","10.196.213.232","wlan1","39","26688","-64","84:8d:84:41:3e:66","149","5745","2023-08-30 07:17:47 UTC"
"2","-23.970272","28.916994","ME4-2450R-39772","AIRAMPNMMCLDT41","10.196.213.41","wlan1","0","0","0","04:f0:21:18:3f:06","149","5745","2023-08-30 07:17:47 UTC"
"2","-23.970272","28.916994","ME4-2450R-39794","AIRAMPNMMCLST265","10.196.212.145","wlan1","15","139117","-88","04:f0:21:18:3e:f5","149","5745","2023-08-30 07:17:47 UTC"
"2","-23.970272","28.916994","ME4-2450R-39271","AIRAMPNMMCLTESTBENCH","10.196.213.254","wlan1","22","53543","-81","04:f0:21:22:64:40","149","5745","2023-08-30 07:17:47 UTC"
"2","-23.970272","28.916994","FE1-2450A-96537","AIRAMPNMMCLDT102","10.196.213.102","wlan1","8","66165","-95","84:8d:84:40:16:e2","149","5745","2023-08-30 07:17:47 UTC"
"2","-23.970272","28.916994","ME4-2450R-28125","AIRAMPNMMCLDT40","10.196.213.40","wlan1","18","0","-85","04:f0:21:09:e9:f0","149","5745","2023-08-30 07:17:47 UTC"
"2","-23.970272","28.916994","ME4-2450R-39794","AIRAMPNMMCLST265","10.196.212.145","wlan0","22","116874","-73","04:f0:21:19:e7:04","6","2437","2023-08-30 07:17:47 UTC"
