"Point Num","Latitude","Longitude","Serial","Name","IP","Wlan","RSSI (SNR)","Cost","Signal","MAC Address","Channel","Frequency","Timestamp"
"1","-23.69122","27.504473","AG1-5250M-100760","LDV","10.0.0.10","wlan1","44","1279","-62","84:8d:84:41:3e:6b","153","5765","2023-07-17 11:38:01 UTC"
"1","-23.69122","27.504473","AG1-5250M-100760","LDV","10.0.0.10","wlan0","54","1160","-48","84:8d:84:41:3e:6a","1","2412","2023-07-17 11:38:01 UTC"
"2","-23.69122","27.504473","AG1-5250M-100760","LDV","10.0.0.10","wlan1","44","1279","-62","84:8d:84:41:3e:6b","153","5765","2023-07-17 11:38:04 UTC"
"2","-23.69122","27.504473","AG1-5250M-100760","LDV","10.0.0.10","wlan0","54","1160","-48","84:8d:84:41:3e:6a","1","2412","2023-07-17 11:38:04 UTC"
"3","-23.691217","27.504494","AG1-5250M-100760","LDV","10.0.0.10","wlan1","45","1279","-61","84:8d:84:41:3e:6b","153","5765","2023-07-17 11:38:07 UTC"
"3","-23.691217","27.504494","AG1-5250M-100760","LDV","10.0.0.10","wlan0","65","1160","-37","84:8d:84:41:3e:6a","1","2412","2023-07-17 11:38:07 UTC"
"4","-23.691221","27.504538","AG1-5250M-100760","LDV","10.0.0.10","wlan1","45","1235","-61","84:8d:84:41:3e:6b","153","5765","2023-07-17 11:38:11 UTC"
"4","-23.691221","27.504538","AG1-5250M-100760","LDV","10.0.0.10","wlan0","65","1177","-37","84:8d:84:41:3e:6a","1","2412","2023-07-17 11:38:11 UTC"
"5","-23.691225","27.504585","AG1-5250M-100760","LDV","10.0.0.10","wlan1","45","1235","-61","84:8d:84:41:3e:6b","153","5765","2023-07-17 11:38:15 UTC"
"5","-23.691225","27.504585","AG1-5250M-100760","LDV","10.0.0.10","wlan0","55","1177","-47","84:8d:84:41:3e:6a","1","2412","2023-07-17 11:38:15 UTC"
"6","-23.691225","27.504633","AG1-5250M-100760","LDV","10.0.0.10","wlan1","43","1235","-63","84:8d:84:41:3e:6b","153","5765","2023-07-17 11:38:19 UTC"
